"filename", "language", "CSS", "Vue", "JavaScript", "XML", "comment", "blank", "total"
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\JoinTask.vue", "Vue", 0, 76, 0, 0, 0, 4, 80
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\StoryPointBox.vue", "Vue", 0, 56, 0, 0, 1, 6, 63
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\SubTask.vue", "Vue", 0, 194, 0, 0, 8, 5, 207
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\SubTaskCalendar.vue", "Vue", 0, 33, 0, 0, 0, 4, 37
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\TaskCard.vue", "Vue", 0, 219, 0, 0, 8, 6, 233
"e:\Teamanager-vue\teamanager-vue\src\components\team\task\TaskPage.vue", "Vue", 0, 165, 0, 0, 14, 5, 184
"e:\Teamanager-vue\teamanager-vue\src\components\team\vote\VoteCard.vue", "Vue", 0, 137, 0, 0, 0, 3, 140
"e:\Teamanager-vue\teamanager-vue\src\components\team\vote\VotePage.vue", "Vue", 0, 294, 0, 0, 8, 5, 307
"e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ModuleToolbar.vue", "Vue", 0, 148, 0, 0, 13, 5, 166
"e:\Teamanager-vue\teamanager-vue\src\components\toolbar\StripToolbar.vue", "Vue", 0, 108, 0, 0, 2, 3, 113
"e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ToolBarButton.vue", "Vue", 0, 27, 0, 0, 0, 3, 30
"e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ToolbarIcon.vue", "Vue", 0, 40, 0, 0, 0, 4, 44
"e:\Teamanager-vue\teamanager-vue\src\components\toolbar\UserIcon.vue", "Vue", 0, 18, 0, 0, 0, 3, 21
"e:\Teamanager-vue\teamanager-vue\src\composables\setupTest.js", "JavaScript", 0, 0, 26, 0, 8, 11, 45
"e:\Teamanager-vue\teamanager-vue\src\main.js", "JavaScript", 0, 0, 26, 0, 1, 4, 31
"e:\Teamanager-vue\teamanager-vue\src\router\index.js", "JavaScript", 0, 0, 132, 0, 3, 4, 139
"e:\Teamanager-vue\teamanager-vue\src\store\index.js", "JavaScript", 0, 0, 113, 0, 6, 1, 120
"e:\Teamanager-vue\teamanager-vue\src\util\all.js", "JavaScript", 0, 0, 15, 0, 0, 3, 18
"e:\Teamanager-vue\teamanager-vue\src\util\cookieUtil.js", "JavaScript", 0, 0, 12, 0, 0, 1, 13
"e:\Teamanager-vue\teamanager-vue\src\views\About.vue", "Vue", 0, 170, 0, 0, 0, 13, 183
"e:\Teamanager-vue\teamanager-vue\src\views\Chat.vue", "Vue", 0, 373, 0, 0, 19, 6, 398
"e:\Teamanager-vue\teamanager-vue\src\views\HelloWorld.vue", "Vue", 0, 58, 0, 0, 1, 3, 62
"e:\Teamanager-vue\teamanager-vue\src\views\HomePage.vue", "Vue", 0, 186, 0, 0, 14, 8, 208
"e:\Teamanager-vue\teamanager-vue\src\views\Signin.vue", "Vue", 0, 251, 0, 0, 7, 6, 264
"e:\Teamanager-vue\teamanager-vue\src\views\Signup.vue", "Vue", 0, 270, 0, 0, 10, 3, 283
"e:\Teamanager-vue\teamanager-vue\src\views\StudentHome.vue", "Vue", 0, 17, 0, 0, 2, 4, 23
"e:\Teamanager-vue\teamanager-vue\src\views\TeacherHome.vue", "Vue", 0, 17, 0, 0, 2, 4, 23
"e:\Teamanager-vue\teamanager-vue\src\views\User.vue", "Vue", 0, 15, 0, 0, 0, 3, 18
"Total", "-", 525, 10158, 328, 2671, 648, 412, 14742
