Date : 2022-04-28 02:13:50
Directory : e:\Teamanager-vue\teamanager-vue\src
Total : 91 files,  13682 codes, 648 comments, 412 blanks, all 14742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Teamanager-vue\teamanager-vue\src\components\about\SwitchContent1.vue                        | Vue        |         22 |          1 |          2 |         25 |
| e:\Teamanager-vue\teamanager-vue\src\components\about\SwitchContent2.vue                        | Vue        |         22 |          1 |          2 |         25 |
| e:\Teamanager-vue\teamanager-vue\src\components\about\SwitchContent3.vue                        | Vue        |         22 |          1 |          2 |         25 |
| e:\Teamanager-vue\teamanager-vue\src\components\about\SwitchContent4.vue                        | Vue        |         22 |          1 |          2 |         25 |
| e:\Teamanager-vue\teamanager-vue\src\components\card\ModuleCard.vue                             | Vue        |         72 |          9 |          3 |         84 |
| e:\Teamanager-vue\teamanager-vue\src\components\card\TeamCard.vue                               | Vue        |         87 |          9 |          4 |        100 |
| e:\Teamanager-vue\teamanager-vue\src\components\chat\ChatBox.vue                                | Vue        |         64 |          0 |          2 |         66 |
| e:\Teamanager-vue\teamanager-vue\src\components\chat\ChatRoomItem.vue                           | Vue        |         52 |          0 |          3 |         55 |
| e:\Teamanager-vue\teamanager-vue\src\components\chat\ContactItem.vue                            | Vue        |         71 |          1 |          2 |         74 |
| e:\Teamanager-vue\teamanager-vue\src\components\chat\MessageItem.vue                            | Vue        |        142 |          1 |          5 |        148 |
| e:\Teamanager-vue\teamanager-vue\src\components\sign\SignInputItem.vue                          | Vue        |        119 |          4 |          4 |        127 |
| e:\Teamanager-vue\teamanager-vue\src\components\swiperTest\SwiperComponent.vue                  | Vue        |         43 |          4 |          4 |         51 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\GanttChart.vue                             | Vue        |         60 |         12 |          5 |         77 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\GanttChartFrappe.vue                       | Vue        |        122 |         11 |          1 |        134 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\StudentTeamPage.vue                        | Vue        |        308 |         22 |          7 |        337 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\TeacherTeamPage.vue                        | Vue        |        307 |         22 |          4 |        333 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\TeamDetail.vue                             | Vue        |        627 |         13 |          7 |        647 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\TeamHome.vue                               | Vue        |        159 |         10 |          4 |        173 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\TeamToolBar.vue                            | Vue        |        258 |         17 |          7 |        282 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\contribution\ContributionAllStatistics.vue | Vue        |         58 |         10 |          5 |         73 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\contribution\ContributionPage.vue          | Vue        |         52 |         10 |          6 |         68 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\contribution\ScoreItem.vue                 | Vue        |        116 |          0 |          4 |        120 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\contribution\ScoreUnit.vue                 | Vue        |         32 |          1 |          3 |         36 |
